event_name_id,event_name
717,Australia in South Africa Test Series
718,Australia in South Africa T20I Series
719,South Africa in Australia ODI Series
720,South Africa in Australia T20I Series
721,The Wisden Trophy
722,ICC World Twenty20 Qualifier
723,ICC Women's World Twenty20
724,Kenya in South Africa ODI Series
725,T20 Canada
726,New Zealand in Bangladesh Test Series
727,India in New Zealand T20I Series
728,West Indies in New Zealand T20I Series
729,Sri Lanka in Zimbabwe ODI Series
730,Sri Lanka in Bangladesh Test Series
731,Australia Women in England ODI Series
732,Zimbabwe in Kenya ODI Series
733,Sri Lanka in Pakistan ODI Series
734,England in South Africa T20I Series
735,England in South Africa ODI Series
736,ICC World Cup Qualifiers
737,Australia v Pakistan ODI Series
738,Bangladesh in West Indies Test Series
739,Bangladesh in West Indies ODI Series
740,Pakistan in Sri Lanka Test Series
741,Compaq Cup
742,New Zealand in Sri Lanka T20I Series
743,West Indies in Australia ODI Series
744,West Indies in Australia T20I Series
745,ICC Intercontinental Shield
746,Kenya in Canada ODI Series
747,West Indies Women in South Africa ODI Series
748,West Indies Women in South Africa T20I Series
749,Australia in New Zealand T20I Series
750,MCC Spirit of Cricket T20I Series
751,MCC Spirit of Cricket Test Series
752,Bangladesh in England Test Series
753,Pakistan in England Test Series
754,Pakistan in England T20I Series
755,Pakistan v New Zealand ODI Series
756,Pakistan v New Zealand T20I Series
757,Sri Lanka in India Test Series
758,Sri Lanka in India T20I Series
759,India in Bangladesh Test Series
760,South Africa in West Indies T20I Series
761,South Africa in West Indies ODI Series
762,South Africa in West Indies Test Series
763,Pakistan v England T20I Series
764,South Africa in India ODI Series
765,Sri Lanka in Australia ODI Series
766,England in Australia T20I Series
767,England in Australia ODI Series
768,Bangladesh in Ireland ODI Series
769,Zimbabwe Triangular Series
770,Sri Lanka Triangular Series
771,New Zealand v Sri Lanka T20I Series
772,ICC World Cricket League Americas Region Division One
773,ICC World Cricket League Americas Region Division One Twenty20
774,Pakistan v South Africa T20I Series
775,Pakistan v South Africa ODI Series
776,Pakistan v South Africa Test Series
777,Zimbabwe in South Africa T20I Series
778,India in South Africa Test Series
779,Netherlands in Ireland ODI Series
780,Ireland in Canada ODI Series
781,West Indies in Sri Lanka Test Series
782,West Indies in Sri Lanka ODI Series
783,Pakistan in New Zealand T20I Series
784,Pakistan in New Zealand ODI Series
785,Sri Lanka in England Test Series
786,Pataudi Trophy
787,New Zealand in Bangladesh ODI Series
788,NatWest Women's T20 Quadrangular Series
789,Sri Lanka in South Africa Test Series
790,Australia in Sri Lanka T20I Series
791,Australia in Sri Lanka ODI Series
792,Warne-Muralitharan Trophy
793,India in Australia T20I Series
794,Zimbabwe in New Zealand ODI Series
795,Zimbabwe in New Zealand T20I Series
796,South Africa in New Zealand T20I Series
797,England in Sri Lanka Test Series
798,Pakistan in Zimbabwe ODI Series
799,Pakistan in Zimbabwe T20I Series
800,New Zealand in Zimbabwe T20I Series
801,New Zealand in Zimbabwe ODI Series
802,England Women in South Africa ODI Series
803,England Women in South Africa T20I Series
804,England Women in New Zealand T20I Series
805,MiWAY T20 Challenge
806,Pakistan v Sri Lanka Test Series
807,Pakistan v Sri Lanka ODI Series
808,Pakistan v England Test Series
809,Pakistan v England ODI Series
810,West Indies in Bangladesh ODI Series
811,West Indies in Bangladesh Test Series
812,West Indies in India Test Series
813,Pakistan in Bangladesh ODI Series
814,Pakistan in Bangladesh Test Series
815,Australia in West Indies T20I Series
816,India Women in England T20I Series
817,India Women in England ODI Series
